date,count
2015-07-19,1
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,1
2015-08-30,0
2015-09-06,2
2015-09-13,0
2015-09-20,1
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,1
2015-10-25,0
2015-11-01,1
2015-11-08,4
2015-11-15,1
2015-11-22,2
2015-11-29,0
2015-12-06,1
2015-12-13,1
2015-12-20,2
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,1
2016-01-24,0
2016-01-31,2
2016-02-07,0
2016-02-14,0
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,0
2016-03-20,3
2016-03-27,2
2016-04-03,0
2016-04-10,0
2016-04-17,1
2016-04-24,3
2016-05-01,1
2016-05-08,2
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,1
2016-07-03,1
2016-07-10,0
2016-07-17,2
2016-07-24,2
2016-07-31,1
2016-08-07,2
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,3
2016-09-11,0
2016-09-18,1
2016-09-25,0
2016-10-02,7
2016-10-09,1
2016-10-16,1
2016-10-23,1
2016-10-30,1
2016-11-06,0
2016-11-13,3
2016-11-20,8
2016-11-27,4
2016-12-04,2
2016-12-11,3
2016-12-18,1
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,5
2017-01-29,0
2017-02-05,0
2017-02-12,1
2017-02-19,2
2017-02-26,0
2017-03-05,2
2017-03-12,0
2017-03-19,4
2017-03-26,0
2017-04-02,1
2017-04-09,1
2017-04-16,3
2017-04-23,3
2017-04-30,0
2017-05-07,0
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,3
2017-06-11,2
2017-06-18,4
2017-06-25,0
2017-07-02,0
2017-07-09,4
2017-07-16,0
2017-07-23,1
2017-07-30,1
2017-08-06,3
2017-08-13,0
2017-08-20,0
2017-08-27,8
2017-09-03,1
2017-09-10,3
2017-09-17,7
2017-09-24,2
2017-10-01,2
2017-10-08,0
2017-10-15,1
2017-10-22,1
2017-10-29,1
2017-11-05,5
2017-11-12,3
2017-11-19,1
2017-11-26,0
2017-12-03,3
2017-12-10,4
2017-12-17,1
2017-12-24,0
2017-12-31,1
2018-01-07,1
2018-01-14,0
2018-01-21,2
2018-01-28,1
2018-02-04,0
2018-02-11,2
2018-02-18,2
2018-02-25,1
2018-03-04,3
2018-03-11,1
2018-03-18,2
2018-03-25,1
2018-04-01,2
2018-04-08,2
2018-04-15,2
2018-04-22,3
2018-04-29,4
2018-05-06,1
2018-05-13,2
2018-05-20,0
2018-05-27,3
2018-06-03,2
2018-06-10,3
2018-06-17,2
2018-06-24,4
2018-07-01,0
2018-07-08,1
2018-07-15,2
2018-07-22,4
2018-07-29,0
2018-08-05,1
